time_s,pressure_signal
0.0,0.00010352373632081346
0.001,0.03852558214420504
0.002,0.014420588690678773
0.003,-0.008560957282908576
0.004,0.014964789112200156
0.005,0.007529641610135863
0.006,-0.00853019638747383
0.007,-0.006647532525074716
0.008,-0.006575762971423189
0.009000000000000001,0.003106273207007941
0.01,-2.7987120711765387e-05
0.011,0.013028374747423913
0.012,0.014076217239979321
0.013000000000000001,-0.011250371401107765
0.014,0.007426579143203524
0.015,-0.012671234874958952
0.016,-0.0006242442129593172
0.017,0.02382409321340232
0.018000000000000002,-0.006799180105451243
0.019,0.014613575180934521
0.02,-0.03347400746943403
0.021,-0.020843645357751957
0.022,-0.0029751589895682775
0.023,-0.006391119618660137
0.024,0.004984950736555797
0.025,0.02443195441507761
0.026000000000000002,0.01205590035929097
0.027,-0.008168560628970924
0.028,-0.017588367038296644
0.029,-0.024128192681889454
0.03,-0.029910865524072912
0.031,-0.04287017787731953
0.032,0.007385066004797379
0.033,0.022388858613308766
0.034,0.009018513313747558
0.035,-0.0028462464677884236
0.036000000000000004,0.019647974029580836
0.037,-0.019367157418741184
0.038,-0.021356931020797255
0.039,0.014490201276101117
0.04,-0.012085311083215576
0.041,-0.010986566476058921
0.042,0.030103852574472723
0.043000000000000003,0.0038263367122763382
0.044,0.01975535183953856
0.045,-0.010838409752735714
0.046,0.016411957122885554
0.047,0.012454254241414662
0.048,0.009254059297494522
0.049,0.016133758943153605
0.05,-0.003184825541172563
0.051000000000000004,0.00699598013173422
0.052000000000000005,0.00612420504761117
0.053,0.018770234777950718
0.054,-0.018815609888676494
0.055,-0.00391145750335606
0.056,0.01446056107781558
0.057,0.0389795491027164
0.058,-0.021496467408900554
0.059000000000000004,0.034140882296111535
0.06,-0.006292077741941429
0.061,-0.0064413971579940724
0.062,-0.014292307428821746
0.063,-0.0032825980776472136
0.064,0.036791766856091986
0.065,-0.003752725249241721
0.066,-0.03083014669426092
0.067,-0.012075579035181735
0.068,0.0309248180826027
0.069,-0.028431639157464418
0.07,-0.01001983860207157
0.07100000000000001,-0.008344323698397313
0.07200000000000001,0.02268023318872527
0.073,0.0213420721322697
0.074,0.027342123189180317
0.075,0.028507019467420083
0.076,0.010556812815389779
0.077,0.011678543947048325
0.078,-0.03308127338500147
